"BROKEN","CATEGORY","FAILED","PASSED","SKIPPED","UNKNOWN"
"0","Click impossible (timeout)","17","0","0","0"
"0","Élément non visible — à investiguer","4","0","0","0"
"1","Timeout global du test","0","0","0","0"
