"BROKEN","CATEGORY","FAILED","PASSED","SKIPPED","UNKNOWN"
"0","Attente d'élément non satisfaite","8","0","0","0"
"0","Product defects","5","0","0","0"
"0","Sélecteur ambigu (strict mode)","4","0","0","0"
"0","Click impossible (timeout)","3","0","0","0"
"0","Élément non visible — à investiguer","2","0","0","0"
"0","Saisie de texte impossible","2","0","0","0"
